Código	Nome da Propriedade	Código SIGEF/SNCI	Município	Área_ha	Codigo Único	Lat	Lon
FRP1761	FAZENDA LAPA	3010860032631	Formosa do Rio Preto	1744,0	3010860032631	-11,215867	-45,208907
FRP1762	FAZENDA TIMBOS	9502380935722	Formosa do Rio Preto	144,2	9502380935722H	-11,217984	-45,078382
FRP1763	LOTE E-6 - FAZENDA NOSSA SENHORA APARECIDA	0000436738897	Formosa do Rio Preto	1370,9	0000436738897	-11,218265	-45,573030
FRP1764	FAZENDA CARIOCA, LOTE 29	3010860254707	Formosa do Rio Preto	128,0	3010860254707A	-11,218958	-46,476319
FRP1765	PROJETO AGRÍCOLA ESTRONDO GLEBA G	0000600692992	Formosa do Rio Preto	1355,0	0000600692992C	-11,219391	-46,110715
FRP1766	FAZENDA CARIOCA, LOTE 29	3010860254707	Formosa do Rio Preto	128,0	3010860254707B	-11,219598	-46,464538
FRP1767	FAZENDA ESTRONDO - GLEBA R	0000600690434	Formosa do Rio Preto	7267,7	0000600690434	-11,219711	-45,463406
FRP1768	FAZENDA CARIOCA, LOTE 29	3010860254707	Formosa do Rio Preto	91,2	3010860254707C	-11,220195	-46,411997
FRP1769	FAZENDA ESTRONDO - LOTE 97	9261160135108	Formosa do Rio Preto	3698,7	9261160135108	-11,220277	-45,832016
FRP1770	FAZENDA SANTA MARIA, GLEBA N 02	9500504221771	Formosa do Rio Preto	96,3	9500504221771	-11,220866	-46,515255
FRP1771	FAZENDA CARIOCA, LOTE 29	3010860254707	Formosa do Rio Preto	105,0	3010860254707D	-11,221044	-46,432397
FRP1772	FAZENDA CARIOCA, LOTE 29	3010860254707	Formosa do Rio Preto	256,3	3010860254707E	-11,221050	-46,447259
FRP1773	FAZENDA ESTRONDO  LOTE 96-C	0000600684388	Formosa do Rio Preto	663,7	0000600684388	-11,221073	-45,667459
FRP1774	FAZENDA SANTA MARIA LOTE II	0000354513714	Formosa do Rio Preto	1000,7	0000354513714	-11,221401	-46,306568
FRP1775	FAZENDA VITÓRIA	0000600659430	Formosa do Rio Preto	7021,0	0000600659430	-11,221956	-46,044526
FRP1776	FAZENDA ESTRONDO - LOTE 54	9014580208693	Formosa do Rio Preto	263,5	9014580208693C	-11,222095	-45,975149
FRP1777	FAZENDA ESTRONDO - LOTE 95 A	9261160130807	Formosa do Rio Preto	914,7	9261160130807	-11,222175	-45,741830
FRP1778	FAZENDA CARIOCA, LOTE 29, GLEBA F, G E H	3010860254707	Formosa do Rio Preto	39,9	3010860254707F	-11,222788	-46,413937
FRP1779	FAZENDA SANTA MARIA LOTE I	9502034853060	Formosa do Rio Preto	500,6	9502034853060	-11,222888	-46,329485
FRP1780	FAZENDA CARIOCA, LOTE 29, GLEBA F, G E H	3010860254707	Formosa do Rio Preto	79,8	3010860254707G	-11,223629	-46,420724
FRP1781	FAZENDA ESTRONDO  LOTE 96-B	0000600684116	Formosa do Rio Preto	825,5	0000600684116	-11,223948	-45,689294
